VIN,vin_prefix,trim,body_style,cab_style
137ZA9037WE182295,137ZA903_W,Open Top,SUV,null
19UDE2F78GA020523,19UDE2F7_G,Premium,Sedan,null
19UUA56623A083857,19UUA566_3,null,Sedan,null
19UUA56632A007014,19UUA566_2,null,Sedan,null
19UUA5667YA063613,19UUA566_Y,null,Sedan,null
19UUA5668YA010189,19UUA566_Y,null,Sedan,null
19UUA56742A049295,19UUA567_2,null,Sedan,null
19UUA56872A018678,19UUA568_2,Type S,Sedan,null
19UUA56952A015965,19UUA569_2,Type S,Sedan,null
19UUA65514A052115,19UUA655_4,null,Sedan,null
19UUA66216A077393,19UUA662_6,null,Sedan,null
19UUA66234A027768,19UUA662_4,null,Sedan,null
19UUA66237A013387,19UUA662_7,null,Sedan,null
19UUA66246A075637,19UUA662_6,null,Sedan,null
19UUA66254A030770,19UUA662_4,null,Sedan,null
19UUA66264A036335,19UUA662_4,null,Sedan,null
19UUA66275A025426,19UUA662_5,null,Sedan,null
19UUA66284A030892,19UUA662_4,null,Sedan,null
19UUA66284A070907,19UUA662_4,null,Sedan,null
19UUA66285A044471,19UUA662_5,null,Sedan,null
19UUA66286A012959,19UUA662_6,null,Sedan,null
19UUA66286A061420,19UUA662_6,null,Sedan,null
19UUA66286A072773,19UUA662_6,null,Sedan,null
19UUA66287A038222,19UUA662_7,null,Sedan,null
19UUA66288A053255,19UUA662_8,null,Sedan,null
19UUA66295A070531,19UUA662_5,null,Sedan,null
19UUA662X4A039951,19UUA662_4,null,Sedan,null
19UUA662X5A006417,19UUA662_5,null,Sedan,null
19UUA662X5A058405,19UUA662_5,null,Sedan,null
19UUA76517A031757,19UUA765_7,Type S,Sedan,null
19UUA86249A014398,19UUA862_9,null,Sedan,null
19UUA86289A001587,19UUA862_9,null,Sedan,null
19UUA8F22AA022844,19UUA8F2_A,null,Sedan,null
19UUA8F25AA005830,19UUA8F2_A,null,Sedan,null
19UUA8F26AA002371,19UUA8F2_A,null,Sedan,null
19UUA8F29DA006449,19UUA8F2_D,null,Sedan,null
19UUA8F54DA010497,19UUA8F5_D,Technology,Sedan,null
19UUA8F55AA004851,19UUA8F5_A,Technology,Sedan,null
19UUA8F5XCA025648,19UUA8F5_C,Technology,Sedan,null
19UUA9F52AA002089,19UUA9F5_A,Technology,Sedan,null
19UUB2F32GA007675,19UUB2F3_G,null,Sedan,null
19UYA2251XL009479,19UYA225_X,null,Coupe,null
19UYA42661A037544,19UYA426_1,Type S,Coupe,null
19XFA16529E047616,19XFA165_9,LX,Sedan,null
19XFA16869E002768,19XFA168_9,EX,Sedan,null
19XFA1F38AE064309,19XFA1F3_A,DX,Sedan,null
19XFB2F51EE033445,19XFB2F5_E,LX,Sedan,null
19XFB2F52EE055843,19XFB2F5_E,LX,Sedan,null
19XFB2F53DE092513,19XFB2F5_D,LX,Sedan,null
19XFB2F55FE073576,19XFB2F5_F,LX,Sedan,null
19XFB2F59EE082988,19XFB2F5_E,LX,Sedan,null
19XFB2F5XDE232279,19XFB2F5_D,LX,Sedan,null
19XFB2F81CE016345,19XFB2F8_C,EX,Sedan,null
19XFB2F81CE083527,19XFB2F8_C,EX,Sedan,null
19XFB2F82DE079794,19XFB2F8_D,EX,Sedan,null
19XFB2F86EE022984,19XFB2F8_E,EX,Sedan,null
19XFB4F31FE201807,19XFB4F3_F,null,Sedan,null
1A8HW58P09F705562,1A8HW58P_9,Limited Edition,SUV,null
1A8HX58N58F107462,1A8HX58N_8,Limited Edition,SUV,null
1B3BD4FB7BN598558,1B3BD4FB_B,Express,Sedan,null
1B3CB3HA2BD113208,1B3CB3HA_B,Mainstreet,Hatchback,null
1B3CB3HA7BD225373,1B3CB3HA_B,Mainstreet,Hatchback,null
1B3CB4HA5AD533422,1B3CB4HA_A,SXT,Hatchback,null
1B3CC4FB1AN103664,1B3CC4FB_A,SXT,Sedan,null
1B3CC4FB2AN186523,1B3CC4FB_A,SXT,Sedan,null
1B3CC4FD8AN201060,1B3CC4FD_A,SXT,Sedan,null
1B3EJ46X21N627836,1B3EJ46X_1,SE,Sedan,null
1B3EL46X32N334507,1B3EL46X_2,SE Plus,Sedan,null
1B3EL46X85N673512,1B3EL46X_5,SXT,Sedan,null
1B3EL46X96N106811,1B3EL46X_6,SXT,Sedan,null
1B3ES26C84D597895,1B3ES26C_4,SE,Sedan,null
1B3ES46C42D638788,1B3ES46C_2,SE,Sedan,null
1B3ES56C15D280172,1B3ES56C_5,SXT,Sedan,null
1B3ES56C22D625138,1B3ES56C_2,ES,Sedan,null
1B3ES56C74D505080,1B3ES56C_4,SXT,Sedan,null
1B3ES56C93D113698,1B3ES56C_3,SXT,Sedan,null
1B3ES56C95D184547,1B3ES56C_5,SXT,Sedan,null
1B3ES66S25D200973,1B3ES66S_5,SRT4,Sedan,null
1B3ES66S34D518373,1B3ES66S_4,SRT4,Sedan,null
1B3ES66S45D105833,1B3ES66S_5,SRT4,Sedan,null
1B3HB28B87D323568,1B3HB28B_7,null,Hatchback,null
1B3HB28B87D566426,1B3HB28B_7,null,Hatchback,null
1B3HB28BX7D258075,1B3HB28B_7,null,Hatchback,null
1B3HB48B08D685343,1B3HB48B_8,SXT,Hatchback,null
1B3HB48B17D173539,1B3HB48B_7,SXT,Hatchback,null
1B3HB48C08D602258,1B3HB48C_8,SXT,Hatchback,null
1B3HB78K08D788389,1B3HB78K_8,R/T,Hatchback,null
1B3HE78K87D143575,1B3HE78K_7,R/T,Hatchback,null
1B3HE78KX7D524148,1B3HE78K_7,R/T,Hatchback,null
1B3LC46B09N564107,1B3LC46B_9,SE,Sedan,null
1B3LC46R18N240062,1B3LC46R_8,SE,Sedan,null
1B3LC56B19N561397,1B3LC56B_9,SXT,Sedan,null
1B3LC56B49N546733,1B3LC56B_9,SXT,Sedan,null
1B3LC56B99N509600,1B3LC56B_9,SXT,Sedan,null
1B3LC56K48N660486,1B3LC56K_8,SXT,Sedan,null
1B3LC56R18N670891,1B3LC56R_8,SXT,Sedan,null
1B3LC76M78N199054,1B3LC76M_8,R/T,Sedan,null
1B4GP44G1YB790379,1B4GP44G_Y,SE,Minivan,null
1B4HR28Z9XF514439,1B4HR28Z_X,SLT,SUV,null
1B4HR38N42F118530,1B4HR38N_2,Sport,SUV,null
1B4HR48Z32F216585,1B4HR48Z_2,SLT,SUV,null
1B4HS28N31F506345,1B4HS28N_1,SLT,SUV,null
1B4HS28Y2WF151654,1B4HS28Y_W,SLT,SUV,null
1B4HS28Y8WF109988,1B4HS28Y_W,SLT,SUV,null
1B4HS58N42F101663,1B4HS58N_2,SLT,SUV,null
1B7FD14T3GS094866,1B7FD14T_G,null,Pickup,Regular Cab
1B7FL26X71S173022,1B7FL26X_1,null,Pickup,Regular Cab
1B7GG22X0XS105913,1B7GG22X_X,Sport,Pickup,Extended Cab
1B7GG22Y5WS603029,1B7GG22Y_W,null,Pickup,Extended Cab
1B7GG42N62S595650,1B7GG42N_2,SLT,Pickup,Extended Cab
1B7GL12X72S603718,1B7GL12X_2,null,Pickup,Extended Cab
1B7HC13Y7WJ206419,1B7HC13Y_W,null,Pickup,Extended Cab
1B7HC13Z6YJ113676,1B7HC13Z_Y,Laramie,Pickup,Extended Cab
1B7HC16X3WS642231,1B7HC16X_W,Laramie,Pickup,Regular Cab
1B7HC16Y01S166733,1B7HC16Y_1,null,Pickup,Regular Cab
1B7HC16YXXS158244,1B7HC16Y_X,Laramie,Pickup,Regular Cab
1B7HF13Y4TJ171261,1B7HF13Y_T,null,Pickup,Extended Cab
1B7HF16Z1TS546280,1B7HF16Z_T,null,Pickup,Regular Cab
1B7HG48N22S659436,1B7HG48N_2,SLT,Pickup,Crew Cab
1B7HL2AN51S308075,1B7HL2AN_1,Sport,Pickup,Crew Cab
1B7HU18N12J103731,1B7HU18N_2,ST,Pickup,Crew Cab
1B7KF2368XJ627505,1B7KF236_X,null,Pickup,Extended Cab
1B7KF23691J536783,1B7KF236_1,null,Pickup,Extended Cab
1C3AN65L06X069612,1C3AN65L_6,Limited Edition,Convertible,null
1C3AN65L55X046311,1C3AN65L_5,Limited Edition,Convertible,null
1C3AN69L65X038454,1C3AN69L_5,Limited Edition,Coupe,null
1C3BC1FB8BN600578,1C3BC1FB_B,Touring,Sedan,null
1C3BC5ED2AN143047,1C3BC5ED_A,Touring,Convertible,null
1C3BCBEB6CN119544,1C3BCBEB_C,Touring,Convertible,null
1C3CC4FB1AN219997,1C3CC4FB_A,Touring,Sedan,null
1C3CC4FB6AN139899,1C3CC4FB_A,Touring,Sedan,null
1C3CCBAB0DN647026,1C3CCBAB_D,LX,Sedan,null
1C3CCBAB5DN760745,1C3CCBAB_D,LX,Sedan,null
1C3CCBAB6DN685828,1C3CCBAB_D,LX,Sedan,null
1C3CCBBB0DN577770,1C3CCBBB_D,Touring,Sedan,null
1C3CCBBB8CN149220,1C3CCBBB_C,Touring,Sedan,null
1C3CCBCB5CN189009,1C3CCBCB_C,Limited,Sedan,null
1C3CCCAB0FN704429,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB1FN663924,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB2FN633430,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB3FN669224,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB4FN665912,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB5FN535783,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB6FN631647,1C3CCCAB_F,Limited,Sedan,null
1C3CCCAB7FN598903,1C3CCCAB_F,Limited,Sedan,null
1C3CCCABXFN543233,1C3CCCAB_F,Limited,Sedan,null
1C3CDFBA0DD298093,1C3CDFBA_D,SXT,Sedan,null
1C3CDFBA8DD305498,1C3CDFBA_D,SXT,Sedan,null
1C3CDFBA9DD328322,1C3CDFBA_D,SXT,Sedan,null
1C3CDFBAXDD194985,1C3CDFBA_D,SXT,Sedan,null
1C3CDFBAXDD266493,1C3CDFBA_D,SXT,Sedan,null
1C3CDFBB0FD309590,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB0FD420740,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB0GD616114,1C3CDFBB_G,SXT,Sedan,null
1C3CDFBB1FD281525,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB2FD265320,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB2FD319523,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB2FD352375,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB3FD275435,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB3FD309695,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB3FD309700,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB3FD310023,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB4FD199806,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB6FD330296,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB7FD204769,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB7FD212001,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB8ED768199,1C3CDFBB_E,SXT,Sedan,null
1C3CDFBB8FD179896,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB8FD251258,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB8FD309708,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBB9FD193483,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBBXFD265243,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBBXFD286139,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBBXFD336294,1C3CDFBB_F,SXT,Sedan,null
1C3CDFBH4DD153538,1C3CDFBH_D,SXT,Sedan,null
1C3CDFCA8DD711716,1C3CDFCA_D,Limited,Sedan,null
1C3CDFCB0FD422793,1C3CDFCB_F,Limited,Sedan,null
1C3CDFCH3DD256156,1C3CDFCH_D,Limited,Sedan,null
1C3CDFEB3GD701878,1C3CDFEB_G,GT,Sedan,null
1C3CDZAB0EN196767,1C3CDZAB_E,SE,Sedan,null
1C3CDZAB2CN231452,1C3CDZAB_C,SE,Sedan,null
1C3CDZAB6CN247301,1C3CDZAB_C,SE,Sedan,null
1C3CDZAB7CN215005,1C3CDZAB_C,SE,Sedan,null
1C3CDZABXDN731134,1C3CDZAB_D,SE,Sedan,null
1C3CDZABXEN199305,1C3CDZAB_E,SE,Sedan,null
1C3CDZCB3DN683005,1C3CDZCB_D,SXT,Sedan,null
1C3CDZCB9DN613492,1C3CDZCB_D,SXT,Sedan,null
1C3CDZCBXDN596699,1C3CDZCB_D,SXT,Sedan,null
1C3CDZCG4DN682165,1C3CDZCG_D,SXT,Sedan,null
1C3EL45X04N306560,1C3EL45X_4,null,Convertible,null
1C3EL45X44N371069,1C3EL45X_4,Base,Convertible,null
1C3EL45X54N290789,1C3EL45X_4,null,Convertible,null
1C3EL46R04N249969,1C3EL46R_4,LX,Sedan,null
1C3EL46X54N214374,1C3EL46X_4,Base,Sedan,null
1C3EL55R02N353088,1C3EL55R_2,LXi,Convertible,null
